,Idx_Sample,Ref.,Mixture Code in Ref,FA (kg/m3),GGBFS (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Total NaOH (kg in 1m3 mix),"NaOH
Concentration (M)",Superplasticizer (kg in 1m3 mix),7-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,365-d Cubic compressive strength (MPa) ,7-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Ec (MPa) ,28-d WA (%),28-d Porosity/AVPV (%),28-d Water permeability (mm),28-d Abrasion resistance (mm),28-d UPV (m/s),28-d sorptivity(m/s^0.5),Slump (mm),flowtable,Seeting I,Setting F,"CO2 Footprint
(kg/m³)",% FA in Mix,% GGBFS in Mix,"Na2SiO3
Concentration (M)","NaOH / Na2SiO3
Volume Ratio","NaOH / Na2SiO3
Mass Ratio"
0,129,[3],Batch,465.0,,38.3625,217.3875,12.5,0.0,,43.5,,,,,,,,,,,,,,,,,,264.8303645705,19.214876033057852,0.0,0.0,0.0,5.666666666666667
1,147,[7],,400.0,,171.42,68.57,10.0,6.0,25.22,27.02,,,,,,,,,,,,,,160.0,,,,158.02215333333334,16.666666666666664,0.0,0.0,0.0,0.4000116672500292
2,148,[7],,400.0,,171.42,68.57,12.0,6.0,27.38,29.33,,,,,,,,,,,,,,140.0,,,,168.52707733333332,16.666666666666664,0.0,0.0,0.0,0.4000116672500292
3,149,[7],,400.0,,171.42,68.57,14.0,6.0,28.18,31.0,,,,,,,,,,,,,,135.0,,,,179.0320013333333,16.666666666666664,0.0,0.0,0.0,0.4000116672500292
4,150,[7],,400.0,,171.42,68.57,16.0,6.0,29.8,32.2,,,,,,,,,,,,,,110.0,,,,189.53692533333333,16.666666666666664,0.0,0.0,0.0,0.4000116672500292
5,192,[11],S1,400.0,,143.0,57.0,12.0,28.0,46.94,48.53,,,,,,,,,,,,,,,,,,195.6294,16.528925619834713,0.0,0.0,0.0,0.3986013986013986
6,193,[11],S2,400.0,,143.0,57.0,12.0,28.0,52.26,53.8,,,,,,,,,,,,,,,,,,224.5044,16.528925619834713,0.0,0.0,0.0,0.3986013986013986
7,194,[11],S3,400.0,,143.0,57.0,12.0,28.0,52.69,53.92,,,,,,,,,,,,,,,,,,253.3794,16.528925619834713,0.0,0.0,0.0,0.3986013986013986
8,195,[11],S4,400.0,,143.0,57.0,12.0,28.0,52.72,53.99,,,,,,,,,,,,,,,,,,282.25440000000003,16.528925619834713,0.0,0.0,0.0,0.3986013986013986
9,196,[11],S5,400.0,,143.0,57.0,12.0,28.0,45.98,47.54,,,,,,,,,,,,,,,,,,211.67106666666663,16.528925619834713,0.0,0.0,0.0,0.3986013986013986
10,197,[11],S6,400.0,,143.0,57.0,12.0,28.0,52.26,53.8,,,,,,,,,,,,,,,,,,224.5044,16.528925619834713,0.0,0.0,0.0,0.3986013986013986
11,198,[11],S7,400.0,,143.0,57.0,12.0,28.0,49.8,50.77,,,,,,,,,,,,,,,,,,237.33773333333332,16.528925619834713,0.0,0.0,0.0,0.3986013986013986
12,199,[11],S8,400.0,,143.0,57.0,12.0,28.0,49.67,50.42,,,,,,,,,,,,,,,,,,250.17106666666663,16.528925619834713,0.0,0.0,0.0,0.3986013986013986
13,361,[20],S1,400.0,,143.0,57.0,12.0,12.0,42.84,44.69,,,,,,,,,,,,,,,625.0,,,194.4244,18.181818181818183,0.0,0.0,0.0,0.3986013986013986
14,362,[20],S2,400.0,,143.0,57.0,12.0,16.0,44.17,46.86,,,,,,,,,,,,,,,640.0,,,201.94439999999997,18.181818181818183,0.0,0.0,0.0,0.3986013986013986
15,363,[20],S3,400.0,,143.0,57.0,12.0,20.0,46.19,48.9,,,,,,,,,,,,,,,665.0,,,209.4644,18.181818181818183,0.0,0.0,0.0,0.3986013986013986
16,364,[20],S4,400.0,,143.0,57.0,12.0,24.0,49.44,51.52,,,,,,,,,,,,,,,690.0,,,216.9844,18.181818181818183,0.0,0.0,0.0,0.3986013986013986
17,365,[20],S5,400.0,,143.0,57.0,12.0,28.0,52.26,53.08,,,,,,,,,,,,,,,710.0,,,224.5044,18.181818181818183,0.0,0.0,0.0,0.3986013986013986
18,399,[23],M3,194.0,194.0,49.6,24.8,3.0,0.0,36.0,52.0,,,,,,,,,,,,,,,,,,42.88624,8.818181818181818,6.689655172413793,12.54987710961822,6.3826583333333335,0.5
19,400,[23],MIX 1,388.0,,49.6,24.8,8.0,0.0,,16.0,,,,,,,,,,,,,,,,,,65.53097333333332,17.636363636363637,0.0,12.54987710961822,2.393496875,0.5
20,401,[23],MIX 2,388.0,,49.6,24.8,10.0,0.0,,20.0,,,,,,,,,,,,,,,,,,69.33033333333333,17.636363636363637,0.0,12.54987710961822,1.9147975,0.5
21,402,[23],MIX 3,349.2,38.8,49.6,24.8,10.0,0.0,,38.0,,,,,,,,,,,,,,,,,,48.734399999999994,15.872727272727271,1.3379310344827584,12.54987710961822,1.9147975,0.5
22,403,[23],MIX 4,194.0,194.0,49.6,24.8,3.0,0.0,,50.0,,,,,,,,,,,,,,,,,,42.88624,8.818181818181818,6.689655172413793,12.54987710961822,6.3826583333333335,0.5
23,404,[23],MIX 5,194.0,194.0,49.6,24.8,3.0,0.0,,55.0,,,,,,,,,,,,,,,,,,65.34457333333333,8.818181818181818,6.689655172413793,12.54987710961822,6.3826583333333335,0.5
24,405,[23],MIX 6,291.0,97.0,49.6,24.8,3.0,0.0,,42.0,,,,,,,,,,,,,,,,,,38.230239999999995,13.227272727272728,3.3448275862068964,12.54987710961822,6.3826583333333335,0.5
25,412,[25],M1,400.0,,143.0,57.0,10.0,24.0,43.62,44.87,,,,,,,,,,,,,,,695.0,,,208.252,16.666666666666664,0.0,0.0,0.0,0.3986013986013986
26,413,[25],M2,380.0,,143.0,57.0,10.0,24.0,47.32,49.28,,,,,,,,,,,,,,,680.0,,,208.172,15.833333333333332,0.0,0.0,0.0,0.3986013986013986
27,414,[25],M3,360.0,,143.0,57.0,10.0,24.0,49.44,51.52,,,,,,,,,,,,,,,665.0,,,208.092,15.0,0.0,0.0,0.0,0.3986013986013986
28,415,[25],M4,340.0,,143.0,57.0,10.0,24.0,48.98,50.46,,,,,,,,,,,,,,,640.0,,,208.012,14.166666666666666,0.0,0.0,0.0,0.3986013986013986
29,416,[26],M1,400.0,,143.0,57.0,8.0,24.0,49.25,51.43,,,,,,,,,,,,,,,700.0,,,199.5196,16.666666666666664,0.0,0.0,0.0,0.3986013986013986
30,417,[26],M2,400.0,,143.0,58.0,10.0,24.0,51.62,53.38,,,,,,,,,,,,,,,690.0,,,209.298,16.666666666666664,0.0,0.0,0.0,0.4055944055944055
31,418,[26],M3,400.0,,143.0,59.0,12.0,24.0,53.76,55.02,,,,,,,,,,,,,,,690.0,,,219.3828,16.666666666666664,0.0,0.0,0.0,0.4125874125874126
32,419,[26],M4,400.0,,143.0,60.0,14.0,24.0,51.55,53.96,,,,,,,,,,,,,,,675.0,,,229.774,16.666666666666664,0.0,0.0,0.0,0.4195804195804196
